127.0.0.1 - - [14/Dec/2020:16:49:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Dec/2020:16:49:55 +0900] "GET /WebMarket/products.jsp HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [14/Dec/2020:16:49:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Dec/2020:16:50:59 +0900] "GET /ch05/request01.sjp HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [14/Dec/2020:16:51:02 +0900] "GET /ch05/request01.jsp HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [14/Dec/2020:16:52:54 +0900] "GET /ch05/request01.jsp HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [14/Dec/2020:16:53:01 +0900] "GET /Book/ch05/request01.jsp HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [14/Dec/2020:16:53:13 +0900] "GET /ch05/request01.jsp HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [14/Dec/2020:16:53:17 +0900] "GET /ch05/request01.jsp HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [14/Dec/2020:16:55:49 +0900] "GET /Book/ch05/request01.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [14/Dec/2020:16:55:56 +0900] "GET /Book/ch05/request01_process.jsp?name=%EA%B4%80%EB%A6%AC%EC%9E%90&passwd=1234 HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [14/Dec/2020:17:00:33 +0900] "GET /Book/ch05/request01.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [14/Dec/2020:17:01:13 +0900] "GET /Book/ch05/request01_process.jsp?name=%EA%B4%80%EB%A6%AC%EC%9E%90&passwd=1234 HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [14/Dec/2020:17:01:33 +0900] "GET /Book/ch05/request01.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [14/Dec/2020:17:01:37 +0900] "POST /Book/ch05/request01_process.jsp HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [14/Dec/2020:17:04:50 +0900] "GET /Book/ch05/request01.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [14/Dec/2020:17:04:54 +0900] "POST /Book/ch05/request01_process.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [14/Dec/2020:21:37:13 +0900] "GET /Book/ch05/response01.jsp HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [14/Dec/2020:21:39:03 +0900] "GET /Book/ch05/request01.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [14/Dec/2020:21:39:06 +0900] "POST /Book/ch05/request01_process.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [14/Dec/2020:21:45:27 +0900] "GET /Book/ch05/response01.jsp HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [14/Dec/2020:21:45:31 +0900] "POST /Book/ch05/response01_process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:21:45:31 +0900] "GET /Book/ch05/response01_failed.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [14/Dec/2020:21:47:57 +0900] "GET /Book/ch05/response01.jsp HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [14/Dec/2020:21:48:02 +0900] "POST /Book/ch05/response01_process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:21:48:02 +0900] "GET /Book/ch05/response01_sucess.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [14/Dec/2020:21:48:07 +0900] "GET /Book/ch05/reponse01.jsp HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [14/Dec/2020:21:48:13 +0900] "POST /Book/ch05/response01_process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:21:48:13 +0900] "GET /Book/ch05/response01_failed.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [14/Dec/2020:21:48:14 +0900] "GET /Book/ch05/reponse01.jsp HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [14/Dec/2020:21:48:27 +0900] "GET /Book/ch05/response01.jsp HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [14/Dec/2020:21:48:29 +0900] "POST /Book/ch05/response01_process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:21:48:29 +0900] "GET /Book/ch05/response01_failed.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [14/Dec/2020:21:48:30 +0900] "GET /Book/ch05/response01.jsp HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [14/Dec/2020:21:48:36 +0900] "GET /Book/ch05/response01.jsp HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [14/Dec/2020:21:48:38 +0900] "POST /Book/ch05/response01_process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:21:48:38 +0900] "GET /Book/ch05/response01_failed.jsp HTTP/1.1" 200 219
